figure_id,panel,source_table,cohort,method,reference,aggregation,scope,condition,angle_degrees,metric,value,sample_sd,ci95_low,ci95_high,images,groups,unit
table_paired,all_conditions,rf100/paired.csv,rf100,base_only,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.44150110375275936,,-1.056014692378329,0.2267739454456232,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,dual_view,full,seed_mean,all_conditions,,,candidate_minus_reference,0.07319718801825582,,-0.32993406173508716,0.3230302409872638,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,dual_view,full,seed_mean,all_conditions,,,candidate_minus_reference,-1.1037527593818988,,-4.756847183317771,2.264967637540452,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,fixed_prior,full,seed_mean,all_conditions,,,candidate_minus_reference,0.20820153489944643,,0.08634440531587828,0.35417588068165123,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,fixed_prior,full,seed_mean,all_conditions,,,candidate_minus_reference,-2.1339220014716704,,-3.253291169957837,-1.1280211142941716,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,linear_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,0.010266278718267196,,0.0011704407598791412,0.020211259620189184,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,linear_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.11037527593818984,,-0.27100271002710025,0.0,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,polar_only,full,seed_mean,all_conditions,,,candidate_minus_reference,1.4255407694288589,,1.0639258539931302,1.8843694260974397,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,polar_only,full,seed_mean,all_conditions,,,candidate_minus_reference,-10.890360559234733,,-13.710507658328764,-7.8566470684305125,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,raw_efficientnet_b0_six_condition,full,seed_mean,all_conditions,,,candidate_minus_reference,0.970757128993331,,-0.19965756861067807,2.2547016935272426,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,raw_efficientnet_b0_six_condition,full,seed_mean,all_conditions,,,candidate_minus_reference,-8.719646799116997,,-17.474174888419075,-1.2096774193548396,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,relational_only,full,seed_mean,all_conditions,,,candidate_minus_reference,0.007388619916764395,,-0.006202880876971963,0.021591851812126705,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,relational_only,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.2943340691685063,,-0.6903353057199211,0.049603174603174593,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,scalar_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,0.015409035721932203,,0.0043988086726874836,0.027716512134948842,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,scalar_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.1839587932303164,,-0.4386171407803878,0.04177109440267334,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,uniform,full,seed_mean,all_conditions,,,candidate_minus_reference,0.2972538368824411,,0.14719466207987003,0.4760446885020876,151,35,native_metric
table_paired,all_conditions,rf100/paired.csv,rf100,uniform,full,seed_mean,all_conditions,,,candidate_minus_reference,-2.980132450331126,,-4.27929318207096,-1.7676349588601274,151,35,native_metric
table_main,frozen_transfer,industrial/summary.csv,industrial,base_only,,seed_mean,all_conditions,,,nmae_pct_fs,11.61220040832999,1.7797288791286765,,,1395,52,percent_full_scale_or_percent
table_main,frozen_transfer,industrial/summary.csv,industrial,base_only,,seed_mean,all_conditions,,,acc_at_2_pct,22.512943050577462,1.79785354858147,,,1395,52,percent_full_scale_or_percent
table_main,frozen_transfer,industrial/summary.csv,industrial,base_only,,seed_mean,all_conditions,,,acc_at_5_pct,51.77220230983672,3.4732383545901673,,,1395,52,percent_full_scale_or_percent
table_main,frozen_transfer,industrial/summary.csv,industrial,base_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,1395,52,percent_full_scale_or_percent
table_main,frozen_transfer,industrial/summary.csv,industrial,dual_view,,seed_mean,all_conditions,,,nmae_pct_fs,10.473200832603945,0.7301580830585901,,,1395,52,percent_full_scale_or_percent
