数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,简单双视图回归,GeoPRR完整模型,重度透视,三seed平均,-0.02,"[-0.042385, 0.001324]",0.258333,"[0.033425, 0.495757]"
SyncG,固定先验混合,GeoPRR完整模型,重度透视,三seed平均,0.387777,"[0.359217, 0.417509]",-1.358333,"[-1.676357, -1.060759]"
SyncG,线性增益头,GeoPRR完整模型,重度透视,三seed平均,-0.000146,"[-0.002884, 0.002531]",-0.05,"[-0.101705, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,重度透视,三seed平均,1.590413,"[1.518442, 1.666165]",-7.166667,"[-7.860551, -6.481481]"
SyncG,去几何融合,GeoPRR完整模型,重度透视,三seed平均,1.279627,"[1.220699, 1.341192]",-5.166667,"[-5.737978, -4.605934]"
SyncG,去极坐标证据,GeoPRR完整模型,重度透视,三seed平均,0.000333,"[-0.002790, 0.003458]",-0.033333,"[-0.085493, 0.016667]"
SyncG,去关系传输,GeoPRR完整模型,重度透视,三seed平均,0.114201,"[0.102542, 0.125967]",-0.166667,"[-0.288087, -0.049963]"
SyncG,仅极坐标专家,GeoPRR完整模型,重度透视,三seed平均,2.329432,"[2.213665, 2.450660]",-13.691667,"[-14.557912, -12.820497]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,重度透视,三seed平均,0.039658,"[-0.017896, 0.100962]",0.608333,"[0.300522, 0.927124]"
SyncG,仅关系专家,GeoPRR完整模型,重度透视,三seed平均,0.001967,"[-0.002757, 0.006583]",-0.033333,"[-0.084774, 0.016708]"
SyncG,11标量MLP门控,GeoPRR完整模型,重度透视,三seed平均,-0.00498,"[-0.007689, -0.002350]",-0.025,"[-0.075358, 0.024802]"
SyncG,三专家等权混合,GeoPRR完整模型,重度透视,三seed平均,0.559605,"[0.522417, 0.599068]",-2.025,"[-2.398804, -1.667517]"
SyncG,仅几何/基础专家,GeoPRR完整模型,重度透视,三模型等权集成,0.114019,"[0.101590, 0.126465]",-0.125,"[-0.328449, 0.074627]"
SyncG,简单双视图回归,GeoPRR完整模型,重度透视,三模型等权集成,-0.031406,"[-0.054096, -0.009911]",0.275,"[0.024697, 0.532725]"
SyncG,固定先验混合,GeoPRR完整模型,重度透视,三模型等权集成,0.411337,"[0.380315, 0.443696]",-1.275,"[-1.669122, -0.907254]"
SyncG,线性增益头,GeoPRR完整模型,重度透视,三模型等权集成,0.000017,"[-0.002389, 0.002414]",-0.025,"[-0.076104, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,重度透视,三模型等权集成,1.597643,"[1.523724, 1.675561]",-6.15,"[-6.961552, -5.352738]"
SyncG,去几何融合,GeoPRR完整模型,重度透视,三模型等权集成,1.291836,"[1.230758, 1.356246]",-4.375,"[-5.052795, -3.718047]"
SyncG,去极坐标证据,GeoPRR完整模型,重度透视,三模型等权集成,0.00084,"[-0.002215, 0.003860]",-0.05,"[-0.125787, 0.000000]"
SyncG,去关系传输,GeoPRR完整模型,重度透视,三模型等权集成,0.116976,"[0.103863, 0.130102]",-0.125,"[-0.323625, 0.050594]"
SyncG,仅极坐标专家,GeoPRR完整模型,重度透视,三模型等权集成,2.234965,"[2.117808, 2.357599]",-12,"[-13.048938, -10.957837]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,重度透视,三模型等权集成,0.077098,"[0.018489, 0.139704]",0.4,"[0.076239, 0.726817]"
SyncG,仅关系专家,GeoPRR完整模型,重度透视,三模型等权集成,-0.012274,"[-0.017215, -0.007478]",0.025,"[0.000000, 0.076239]"
SyncG,11标量MLP门控,GeoPRR完整模型,重度透视,三模型等权集成,-0.005482,"[-0.007871, -0.003118]",-0.025,"[-0.076394, 0.000000]"
SyncG,三专家等权混合,GeoPRR完整模型,重度透视,三模型等权集成,0.577438,"[0.537546, 0.619653]",-1.9,"[-2.344323, -1.481481]"
SyncG,仅几何/基础专家,GeoPRR完整模型,重度复合扰动,三seed平均,0.115054,"[0.103855, 0.126269]",-0.158333,"[-0.279614, -0.041315]"
SyncG,简单双视图回归,GeoPRR完整模型,重度复合扰动,三seed平均,-0.039271,"[-0.064236, -0.015201]",0.483333,"[0.209695, 0.760457]"
SyncG,固定先验混合,GeoPRR完整模型,重度复合扰动,三seed平均,0.437804,"[0.408676, 0.468193]",-1.666667,"[-2.005325, -1.340160]"
SyncG,线性增益头,GeoPRR完整模型,重度复合扰动,三seed平均,0.001291,"[-0.001308, 0.003913]",-0.008333,"[-0.050671, 0.033476]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,重度复合扰动,三seed平均,1.636516,"[1.561093, 1.714204]",-8.191667,"[-8.927540, -7.465083]"
SyncG,去几何融合,GeoPRR完整模型,重度复合扰动,三seed平均,1.299005,"[1.238598, 1.361140]",-5.675,"[-6.301994, -5.056646]"
SyncG,去极坐标证据,GeoPRR完整模型,重度复合扰动,三seed平均,0.001092,"[-0.001670, 0.003834]",-0.058333,"[-0.122641, 0.000000]"
SyncG,去关系传输,GeoPRR完整模型,重度复合扰动,三seed平均,0.137112,"[0.125676, 0.148354]",-0.158333,"[-0.287643, -0.033209]"
SyncG,仅极坐标专家,GeoPRR完整模型,重度复合扰动,三seed平均,2.413688,"[2.290726, 2.540030]",-14.9,"[-15.786828, -13.993810]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,重度复合扰动,三seed平均,-0.033214,"[-0.097472, 0.033846]",0.875,"[0.467601, 1.288725]"
SyncG,仅关系专家,GeoPRR完整模型,重度复合扰动,三seed平均,-0.001404,"[-0.005810, 0.002968]",-0.091667,"[-0.156301, -0.033159]"
SyncG,11标量MLP门控,GeoPRR完整模型,重度复合扰动,三seed平均,-0.001756,"[-0.004082, 0.000501]",0,"[-0.058000, 0.057943]"
SyncG,三专家等权混合,GeoPRR完整模型,重度复合扰动,三seed平均,0.60953,"[0.570392, 0.650084]",-2.475,"[-2.896061, -2.062556]"
SyncG,仅几何/基础专家,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.122809,"[0.110388, 0.135162]",-0.075,"[-0.249501, 0.075000]"
SyncG,简单双视图回归,GeoPRR完整模型,重度复合扰动,三模型等权集成,-0.057737,"[-0.082806, -0.033663]",0.6,"[0.324838, 0.883616]"
SyncG,固定先验混合,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.465553,"[0.434849, 0.497770]",-1.325,"[-1.753482, -0.919022]"
SyncG,线性增益头,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.003452,"[0.000920, 0.005966]",0.025,"[0.000000, 0.076026]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,重度复合扰动,三模型等权集成,1.641057,"[1.564594, 1.720227]",-7.175,"[-8.004076, -6.351144]"
SyncG,去几何融合,GeoPRR完整模型,重度复合扰动,三模型等权集成,1.313556,"[1.251751, 1.376769]",-5.075,"[-5.799718, -4.375455]"
SyncG,去极坐标证据,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.001628,"[-0.001452, 0.004628]",-0.025,"[-0.076123, 0.000000]"
